Month,Total SNAP Recipients
Apr 2019,"1,550,397"
Mar 2019,"1,561,666"
Feb 2019,"1,564,537"
Jan 2019,"1,570,537"
Dec 2018,"1,571,790"
Nov 2018,"1,577,524"
Oct 2018,"1,590,812"
Sep 2018,"1,594,530"
Aug 2018,"1,604,622"
Jul 2018,"1,603,658"
Jun 2018,"1,607,466"
May 2018,"1,618,164"
Apr 2018,"1,618,824"
Mar 2018,"1,633,962"
Feb 2018,"1,620,356"
Jan 2018,"1,635,537"
Dec 2017,"1,635,635"
Nov 2017,"1,640,403"
Oct 2017,"1,636,416"
Sep 2017,"1,655,650"
Aug 2017,"1,662,817"
Jul 2017,"1,670,141"
Jun 2017,"1,676,347"
May 2017,"1,682,555"
Apr 2017,"1,669,824"
Mar 2017,"1,682,786"
Feb 2017,"1,678,623"
Jan 2017,"1,696,761"
Dec 2016,"1,698,771"
Nov 2016,"1,698,133"
Oct 2016,"1,692,789"
Sep 2016,"1,702,125"
Aug 2016,"1,707,718"
Jul 2016,"1,690,283"
Jun 2016,"1,693,156"
May 2016,"1,694,747"
Apr 2016,"1,677,093"
Mar 2016,"1,678,033"
Feb 2016,"1,679,814"
Jan 2016,"1,676,822"
Dec 2015,"1,688,470"
Nov 2015,"1,686,941"
Oct 2015,"1,694,576"
Sep 2015,"1,696,174"
Aug 2015,"1,692,560"
Jul 2015,"1,699,730"
Jun 2015,"1,706,657"
May 2015,"1,701,527"
Apr 2015,"1,709,929"
Mar 2015,"1,716,035"
Feb 2015,"1,716,588"
Jan 2015,"1,722,856"
Dec 2014,"1,742,730"
Nov 2014,"1,732,347"
Oct 2014,"1,738,405"
Sep 2014,"1,739,660"
Aug 2014,"1,743,729"
Jul 2014,"1,751,949"
Jun 2014,"1,755,806"
May 2014,"1,758,889"
Apr 2014,"1,762,745"
Mar 2014,"1,769,583"
Feb 2014,"1,785,876"
Jan 2014,"1,821,535"
Dec 2013,"1,838,337"
Nov 2013,"1,836,252"
Oct 2013,"1,850,432"
Sep 2013,"1,855,649"
Aug 2013,"1,869,226"
Jul 2013,"1,880,790"
Jun 2013,"1,873,527"
May 2013,"1,871,135"
Apr 2013,"1,872,839"
Mar 2013,"1,872,945"
Feb 2013,"1,858,529"
Jan 2013,"1,864,854"
Dec 2012,"1,906,610"
Nov 2012,"1,864,472"
Oct 2012,"1,838,911"
Sep 2012,"1,836,249"
Aug 2012,"1,844,896"
Jul 2012,"1,837,299"
Jun 2012,"1,834,161"
May 2012,"1,825,013"
Apr 2012,"1,810,179"
Mar 2012,"1,821,023"
Feb 2012,"1,811,369"
Jan 2012,"1,815,175"
Dec 2011,"1,825,377"
Nov 2011,"1,819,653"
Oct 2011,"1,832,667"
Sep 2011,"1,831,882"
Aug 2011,"1,826,690"
Jul 2011,"1,835,190"
Jun 2011,"1,830,907"
May 2011,"1,820,946"
Apr 2011,"1,822,591"
Mar 2011,"1,823,042"
Feb 2011,"1,803,076"
Jan 2011,"1,805,763"
Dec 2010,"1,810,730"
Nov 2010,"1,797,430"
Oct 2010,"1,789,683"
Sep 2010,"1,776,501"
Aug 2010,"1,764,202"
Jul 2010,"1,755,644"
Jun 2010,"1,731,884"
May 2010,"1,715,629"
Apr 2010,"1,700,301"
Mar 2010,"1,687,344"
Feb 2010,"1,663,116"
Jan 2010,"1,656,221"
Dec 2009,"1,644,846"
Nov 2009,"1,619,835"
Oct 2009,"1,607,212"
Sep 2009,"1,583,581"
Aug 2009,"1,554,815"
Jul 2009,"1,537,284"
Jun 2009,"1,502,368"
May 2009,"1,473,304"
Apr 2009,"1,444,403"
Mar 2009,"1,415,907"
Feb 2009,"1,390,204"
Jan 2009,"1,366,942"
